iso,country,region,year,traffic_eb,broadband_subs,mobile_broadband_penetration,cellular_subs,cov_5g,cov_4g,cov_3g,cov_2g,region_adoption_factor,5g_penetration_rate,5g_penetration_pct,estimated_5g_subscriptions,synthetic_5g_subscription_flag,gdp_per_capita,urbanization_rate,log_gdp_per_capita,mobile_traffic_per_sub,traffic_growth_rate
BLR,Belarus,Europe,2022,1.338,9321766.0,101.619155811629,11770639.0,0.0,98.0,99.9,99.9,0.275,0.0,0.0,0.0,True,7994.64806074889,78.4732787892908,8.986527604380312,11.961252835567853,20.991976374464926
BLR,Belarus,Europe,2023,1.57,9455523.0,103.728114633247,11757329.0,0.0,98.4,99.9,99.9,0.38,0.0,0.0,0.0,True,7896.75388295584,78.8146420666327,8.974207053120542,13.836710389613915,15.679440772869713
BLR,Belarus,Europe,2024,1.596,9740493.0,107.55018165565,11875413.0,0.0,99.0,99.9,99.9,0.46,0.0,0.0,0.0,True,8317.63399913792,79.1551015210848,9.026133118269371,13.654339672540189,-1.318020771834727
BRA,Brazil,Latin America,2019,4.15,183789072.0,88.5920635137396,202009209.0,0.0,88.75,91.13,91.22,0.0076,0.0,0.0,0.0,True,9029.83304401079,86.6797991084296,9.108289157204757,1.88168605222259,
BRA,Brazil,Latin America,2020,5.87,190738810.0,91.41092702003,205834781.0,0.0,88.23,90.11,90.27,0.038,0.0,0.0,0.0,True,7074.19407495707,86.9112186503004,8.864208804356167,2.5645890664132103,36.292080359738875
BRA,Brazil,Latin America,2021,7.7,205538574.0,98.0855574461757,219660524.0,31.91,88.3,90.15,90.31,0.1216,0.03880256,3.880256,8523390.66214144,True,7972.53696080695,87.1360781715439,8.983758034910712,3.1218795293708066,21.73020505530787
BRA,Brazil,Latin America,2022,10.22,200378621.0,95.279367013127,212925716.0,33.55,92.36,92.36,92.52,0.209,0.07011949999999999,7.011949999999999,14930244.743061997,True,9281.33282136864,87.349556243881,9.135760438459762,4.250287093585032,36.1451348009463
BRA,Brazil,Latin America,2023,12.69,205810548.0,97.4755315920123,213294905.0,62.7,93.19,93.39,93.44,0.2888,0.1810776,18.10776,38622929.489628,True,10377.5897719195,87.6159710235763,9.24740393052042,5.138220612482894,20.891142159267815
BRA,Brazil,Latin America,2024,14.49,209716951.0,98.9237559632064,216083460.0,62.98,91.16,92.65,92.73,0.3496,0.22017807999999997,22.017808,47576841.3425568,True,10310.5488778166,87.8958549533146,9.240922813015535,5.75776061134896,12.057481482226429
BRN,Brunei Darussalam,East Asia & Pacific,2021,0.371656,609284.0,134.880601078985,603486.0,0.0,96.64,96.64,99.0,0.1984,0.0,0.0,0.0,True,31006.9636289785,74.7667316936175,10.34196709143388,50.8323430999884,
BRN,Brunei Darussalam,East Asia & Pacific,2022,0.051354,533524.0,117.162746777346,528723.0,0.0,98.64,98.64,98.64,0.341,0.0,0.0,0.0,True,36632.9280952155,74.7772642014221,10.508702789657383,8.021194922815093,-84.22029276313859
BRN,Brunei Darussalam,East Asia & Pacific,2023,0.057983,545307.0,118.816469803834,544652.0,95.44,99.04,99.07,99.07,0.4712,0.44971328,44.971328,244937.23737856,True,32890.5491812019,74.8199193881365,10.40094063655668,8.860910765250889,10.468712586043116
BRN,Brunei Darussalam,East Asia & Pacific,2024,0.056521,550961.0,119.069806643744,546615.0,95.44,99.04,99.07,99.07,0.5704,0.5443897600000001,54.438976000000004,297571.60866240005,True,33153.4738913513,74.8983133873697,10.408902783226198,8.548850705101328,-3.5217605550587505
