"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",18,"SAU","Saudi Arabia","3.11",2016,"","Communications and Information Technology Commission (CITC)","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",18,"SAU","Saudi Arabia","5.44",2017,"","Communications and Information Technology Commission (CITC)","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",18,"SAU","Saudi Arabia","7.36",2018,"","CITC","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",18,"SAU","Saudi Arabia","7.78",2019,"","Communication and Information Technology Commission","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",18,"SAU","Saudi Arabia","13.22",2020,"","Communications, Space & Technology Commission","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",18,"SAU","Saudi Arabia","14.416",2021,"","Communications, Space & Technology Commission","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",18,"SAU","Saudi Arabia","19.3",2022,"","Communication and Information Technology Commission","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",18,"SAU","Saudi Arabia","29.9",2023,"","Communication and Information Technology Commission","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",18,"SAU","Saudi Arabia","34.11",2024,"","Communications, Space and Technology Commission","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
13068,"i136mwi","Mobile-broadband Internet traffic (within the country)",,"exabytes",20,"ATG","Antigua and Barbuda","9.92E-4",2016,"","Ministry of Information, Broadcasting, Telecommunications and Information Technology	
Ministry of Information, Broadcasting, Telecommunications and Information Technology	
Ministry of Information, Broadcasting, Telecommunications and Information Technology","Refers to broadband traffic volumes originated within the country from 3G networks or other more advanced mobile networks, including 3G upgrades, evolutions or equivalent standards in terms of data transmission speeds"
